taxon_id,scientific_name,common_name,domain,reference_label,reference_display_name,model,model_display_name,baseline,target,delta,metric,domain_display_name
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.1810524729166562,0.1810524729166562,0.0,lppd_test_norm,Satellite refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2395347319192979,0.2395347319192979,0.0,lppd_test_norm,Satellite refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,-0.0831376465984092,-0.0831376465984092,0.0,lppd_test_norm,Satellite refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2022198699627218,0.2022198699627218,0.0,lppd_test_norm,Satellite refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.333019653529497,0.333019653529497,0.0,lppd_test_norm,Satellite refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,-0.0432318806668243,-0.0432318806668243,0.0,lppd_test_norm,Satellite refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.3636351029798768,0.3636351029798768,0.0,lppd_test_norm,Satellite refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.3352304205710643,0.3352304205710643,0.0,lppd_test_norm,Satellite refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,-0.8200571856311634,-0.8200571856311634,0.0,lppd_test_norm,Satellite refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,-0.1797405143355596,-0.1797405143355596,0.0,lppd_test_norm,Satellite refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2083798807788032,0.2083798807788032,0.0,lppd_test_norm,Satellite refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.4798261076183387,0.4798261076183387,0.0,lppd_test_norm,Satellite refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.0335968316195615,0.0335968316195615,0.0,lppd_test_norm,Satellite refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.437189525718995,0.437189525718995,0.0,lppd_test_norm,Satellite refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.1731919029834323,0.1731919029834323,0.0,lppd_test_norm,Satellite refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2871141132979933,0.2871141132979933,0.0,biolith_ap_test,Camera-trap refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2651732149806529,0.2651732149806529,0.0,biolith_ap_test,Camera-trap refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.5217405220720577,0.5217405220720577,0.0,biolith_ap_test,Camera-trap refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.4300841242175353,0.4300841242175353,0.0,biolith_ap_test,Camera-trap refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2308938809483554,0.2308938809483554,0.0,biolith_ap_test,Camera-trap refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.215330763683623,0.215330763683623,0.0,biolith_ap_test,Camera-trap refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2349083171767569,0.2349083171767569,0.0,biolith_ap_test,Camera-trap refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3055081436235494,0.3055081436235494,0.0,biolith_ap_test,Camera-trap refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7553955996465476,0.7553955996465476,0.0,biolith_ap_test,Camera-trap refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.185971756785536,0.185971756785536,0.0,biolith_ap_test,Camera-trap refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3543584064914952,0.3543584064914952,0.0,biolith_ap_test,Camera-trap refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7004592919288108,0.7004592919288108,0.0,biolith_ap_test,Camera-trap refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3991794417066966,0.3991794417066966,0.0,biolith_ap_test,Camera-trap refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.408172144703703,0.408172144703703,0.0,biolith_ap_test,Camera-trap refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.4268192311994789,0.4268192311994789,0.0,biolith_ap_test,Camera-trap refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.8940484135722171,0.8940484135722171,0.0,biolith_ap_test,Camera-trap refits
